Player Jumps Into Stands,Random Mahomes Mention,Patriots TD,Commercial: Michelob,Game Goes into OT,Player Knocks Someone Over,Turnover On Downs,Deep Kickoff Return,Tush Push,Flag: Taunting,Commercial: He Gets Us,Commercial: AI,Recovered Fumble,Successful Hail Mary,QB Running Touchdown,Commercial: Dunkin' Donuts,Seahawks TD,Bad Bunny Makes Statement,4th Down Conversion,Flag: Holding,Successful Trick Play,Commercial: Musical Artist,Missed Extra Point,Missed Field Goal,Insane JSN Catch
Commercial: Nike,Successful Trick Play,Tush Push,Game Goes into OT,Fight Fight Fight,QB Running Touchdown,Commercial: Doritos,Bad Ref Call,Missed Extra Point,Commercial: Gambling,Player Knocks Someone Over,Flag: Grounding,Insane JSN Catch,Crazy Maye Scramble,Seahawks TD,Successful Hail Mary,Missed Field Goal,Patriots TD,Close Call Catch/Incomplete,Commercial: Taco Bell,Commercial: Musical Artist,Bad Bunny Makes Statement,Deep Kickoff Return,4th Down Conversion,Flag: Def. Pass Interference
20+ Yard Run,Successful Trick Play,Game Goes into OT,Commercial: Jeep,Recovered Fumble,Flag: Offsides,Bad Ref Call,Bad Bunny Makes Statement,Commercial: Mountain Dew,Player Knocks Someone Over,QB Running Touchdown,Commercial: Nike,Fight Fight Fight,Flag: Taunting,Successful Challenge,Successful Hail Mary,Patriots TD,Seahawks TD,Commercial: New Movie,Close Call Catch/Incomplete,Tom Brady Mention,Fumble,Darnold Interception,Pick-6,Commercial: Football Player
Turnover On Downs,Fight Fight Fight,Deep Kickoff Return,Impressive TD Celebration,QB Sack,Tom Brady Mention,2-Pt Attempt,30+ Yard Catch,Seahawks TD,Commercial: AI,Bad Bunny Makes Statement,Flag: Taunting,Successful Hail Mary,Missed Field Goal,Flag: Offsides,Successful Trick Play,Commercial: UberEats,Commercial: Dunkin' Donuts,Commercial: Musical Artist,Commercial: Michelob,Random Mahomes Mention,20+ Yard Run,Patriots TD,Game Goes into OT,One Handed Catch
Commercial: Taco Bell,Seahawks TD,Fight Fight Fight,Interception,Patriots TD,Successful Trick Play,Commercial: UberEats,30+ Yard Catch,Commercial: Michelob,Deep Kickoff Return,Commercial: AI,Player Jumps Into Stands,Bad Bunny Makes Statement,Flag: Taunting,20+ Yard Run,Turnover On Downs,Flag: False Start,Missed Field Goal,Game Goes into OT,Darnold Interception,Random Mahomes Mention,2-Pt Attempt,Commercial: Musical Artist,Successful Hail Mary,Safety
30+ Yard Catch,Missed Field Goal,Fight Fight Fight,4th Down Conversion,Successful Trick Play,Interception,Patriots TD,Game Goes into OT,One Handed Catch,Commercial: Dunkin' Donuts,Player Knocks Someone Over,2-Pt Attempt,Commercial: Hims,Crazy Maye Scramble,Commercial: AI,QB Running Touchdown,Commercial: Mountain Dew,Flag: Grounding,Commercial: New Movie,Insane JSN Catch,Successful Hail Mary,Bad Bunny Makes Statement,Seahawks TD,Flag: Offsides,Missed Extra Point
2-Pt Attempt,Patriots TD,20+ Yard Run,Commercial: Hims,Commercial: Musical Artist,Seahawks TD,Deep Kickoff Return,Bad Ref Call,QB Sack,Commercial: Doritos,Tom Brady Mention,Pick-6,Flag: Grounding,Successful Trick Play,Commercial: Bud Light,Player Jumps Into Stands,Game Goes into OT,Successful Hail Mary,Bad Bunny Makes Statement,30+ Yard Catch,Fight Fight Fight,Random Mahomes Mention,Flag: Offsides,QB Running Touchdown,Commercial: Football Player
Darnold Interception,Game Goes into OT,Successful Trick Play,Commercial: UberEats,Tom Brady Mention,Commercial: Gambling,Tush Push,Close Call Catch/Incomplete,Flag: Def. Pass Interference,Safety,Fight Fight Fight,Missed Field Goal,Deep Kickoff Return,Seahawks TD,Player Jumps Into Stands,Patriots TD,Commercial: Dunkin' Donuts,Commercial: AI,Bad Bunny Makes Statement,4th Down Conversion,Commercial: Mountain Dew,Flag: Off. Pass Interference,30+ Yard Catch,Successful Hail Mary,Fumble
Darnold Interception,2-Pt Attempt,Successful Trick Play,Missed Extra Point,QB Running Touchdown,Bad Ref Call,Player Jumps Into Stands,Game Goes into OT,Tom Brady Mention,Safety,Seahawks TD,Commercial: Doritos,Fight Fight Fight,Commercial: Gambling,Commercial: Michelob,20+ Yard Run,Flag: Def. Pass Interference,Successful Hail Mary,Flag: Off. Pass Interference,Patriots TD,30+ Yard Catch,Turnover On Downs,Commercial: AI,Commercial: UberEats,Bad Bunny Makes Statement
Successful Trick Play,Darnold Interception,Commercial: Gambling,Insane JSN Catch,Commercial: Dunkin' Donuts,Flag: Taunting,Player Jumps Into Stands,Seahawks TD,20+ Yard Run,Turnover On Downs,Bad Bunny Makes Statement,Patriots TD,Fumble,Missed Field Goal,Successful Hail Mary,Recovered Fumble,Deep Kickoff Return,Commercial: New Movie,Commercial: Michelob,Pick-6,Commercial: Nike,Flag: Holding,Game Goes into OT,Player Knocks Someone Over,QB Running Touchdown
Game Goes into OT,Darnold Interception,Commercial: Mountain Dew,Commercial: Football Player,Successful Hail Mary,Patriots TD,Player Jumps Into Stands,Successful Trick Play,Commercial: Hims,Bad Bunny Makes Statement,Commercial: New Movie,Commercial: Doritos,Flag: Taunting,Turnover On Downs,Seahawks TD,Recovered Fumble,Tush Push,Fumble,Flag: Holding,Deep Kickoff Return,2-Pt Attempt,30+ Yard Catch,Crazy Maye Scramble,Impressive TD Celebration,Safety
